"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=57&matchBoolean%3Dtrue%26rowsPerPage%3D50%26searchField%3DSearch_All%26queryText%3D%28%28%28%28%28static%29+AND+code%29+AND+analysis%29+AND+software%29+AND+visualization%29",2014/10/23 18:15:41
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Runtime visualisation of object oriented software","Smith, M.P.; Munro, M.","Dept. of Comput. Sci., Durham Univ., UK","Visualizing Software for Understanding and Analysis, 2002. Proceedings. First International Workshop on","2002","2002","","","81","89","Software is inherently dynamic, yet much of the analysis and comprehension processes focus entirely on the static source code of the software. This paper looks at how software visualisation offers a way to aid comprehension by displaying both static and dynamic aspects of a piece of software. A new visualisation is presented with specific focus on a class level summary view.","","0-7695-1662-9","","10.1109/VISSOF.2002.1019797","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019797","","Computer errors;Computer science;Documentation;Information resources;Java;Runtime;Software maintenance;Software systems;Software tools;Visualization","data visualisation;object-oriented programming;software engineering","Java programs;object oriented programming;runtime View;runtime visualisation;software visualisation;static source code","","","","4","6","","","","20020807","","IEEE","","IEEE Conference Publications"
"Monitoring compliance of a software system with its high-level design models","Sefika, M.; Sane, A.; Campbell, R.H.","Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA","Software Engineering, 1996., Proceedings of the 18th International Conference on","25-29 Mar 1996","1996","","","387","396","As a complex software system evolves, its implementation tends to diverge from the intended or documented design models. Such undesirable deviation makes the system hard to understand, modify and maintain. This paper presents a hybrid computer-assisted approach for confirming that the implementation of a system maintains its expected design models and rules. Our approach closely integrates logic-based static analysis and dynamic visualization, providing multiple code views and perspectives. We show that the hybrid technique helps determine design-implementation congruence at various levels of abstraction: concrete rules like coding guidelines, architectural models like design patterns or connectors, and subjective design principles like low coupling and high cohesion. The utility of our approach has been demonstrated in the development of μChoices, a new multimedia operating system which inherits many design decisions and guidelines learned from experience in the construction and maintenance of its predecessor, Choices","0270-5257","0-8186-7247-1","","10.1109/ICSE.1996.493433","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=493433","","Computer science;Computerized monitoring;Concrete;Guidelines;Multimedia systems;Operating systems;Software systems;Utility programs;Visualization;World Wide Web","conformance testing;monitoring;multimedia computing;operating systems (computers);software engineering","μChoices;abstraction levels;architectural models;coding guidelines;complex software system evolution;concrete rules;connectors;design patterns;design-implementation congruence;documented design models;dynamic visualization;high cohesion;high-level design models;hybrid computer-assisted approach;implementation divergence;logic-based static analysis;low coupling;multimedia operating system;multiple code view;software system compliance monitoring;subjective design principles","","","","28","2","26","","","20020806","25 Mar 1996-30 Mar 1996","IEEE","","IEEE Conference Publications"
"Visualization of C++ Template Metaprograms","Boro&#x0301;k-Nagy, Z.; Ma&#x0301;jer, V.; Mihalicza, J.; Pataki, N.; Porkolab, Z.","Dept. of Programming Languages & Compilers, Eotvos Lorand Univ., Budapest, Hungary","Source Code Analysis and Manipulation (SCAM), 2010 10th IEEE Working Conference on","12-13 Sept. 2010","2010","","","167","176","Template metaprograms have become an essential part of today's C++ programs: with proper template definitions we can force the C++ compiler to execute algorithms at compilation time. Among the application areas of template metaprograms are the expression templates, static interface checking, code optimization with adaptation, language embedding and active libraries. Despite all of its already proven benefits and numerous successful applications there are surprisingly few tools for creating, supporting, and analyzing C++ template metaprograms. As metaprograms are executed at compilation time they are even harder to understand. In this paper we present a code visualization tool, which is utilizing Tem plight, our previously developed C++ template metaprogram debugger. Using the tool it is possible to visualize the instantiation chain of C++ templates and follow the execution of metaprograms. Various presentation layers, filtering of template instances and step-by-step replay of the instantiations are supported. Our tool can help to test, optimize, maintain C++ template metaprograms, and can enhance their acceptance in the software industry.","","978-1-4244-8655-7","","10.1109/SCAM.2010.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5601850","C++ template metaprogram;code comprehension","Context;Data structures;Debugging;Instruments;Libraries;Programming;Visualization","C++ language;data visualisation;program compilers;program debugging","C++ compiler;C++ template metaprogram debugger;C++ template metaprogram visualization;active libraries;code optimization;code visualization tool;expression templates;language embedding;static interface checking;tem plight","","","","0","","","","","20101014","","IEEE","","IEEE Conference Publications"
"Extendable object visualisation for software reengineering","Muhlbacher, J.R.; Dietmuller, P.R.; Jobstl, M.","Dept. of Inf. Process. & Microtechnol. Technol., Johannes Kepler Univ., Linz, Austria","EUROMICRO Conference, 1999. Proceedings. 25th","1999","1999","2","","229","236 vol.2","This paper describes an experimental reengineering tool which assists the process of understanding the functionality of unknown software, particularly object oriented programs. In contrast to many other tools which analyse the source code, the inspected program is analysed at runtime by a concurrent process running in parallel. Information on all objects allocated by the inspected program is collected, in particular the dynamic type of each inspected object is determined. In contrast to the static type, the dynamic type of an object can only be determined at runtime. Each object is visualised by a corresponding visualisation class. Visualisation classes for well known data structures like binary trees can be used from the beginning. New visualisation can be derived by class extensions or can be added simply. The inspected program can be halted at specific locations to update the visualisation. Also, updating the visualisation can be triggered by specifying watch points","1089-6503","0-7695-0321-7","","10.1109/EURMIC.1999.794785","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=794785","","Binary trees;Data structures;Data visualization;Documentation;Information processing;Microprocessors;Runtime;Software tools;Tree data structures;Watches","object-oriented programming;program visualisation;systems re-engineering","data structures;dynamic type;functionality;object oriented programs;object visualisation;software reengineering;visualisation class","","","","0","","14","","","20020806","08 Sep 1999-10 Sep 1999","IEEE","","IEEE Conference Publications"
"Visualizing Feature Interaction in 3-D","Greevy, O.; Lanza, M.; Wysseier, C.","Berne Univ.","Visualizing Software for Understanding and Analysis, 2005. VISSOFT 2005. 3rd IEEE International Workshop on","0-0 0","2005","","","1","6","Without a clear understanding of how features of a software system are implemented, a maintenance change in one part of the code may risk adversely affecting other features. Feature implementation and relationships between features are not explicit in the code. To address this problem, we propose an interactive 3D visualization technique based on a combination of static and dynamic analysis which enables the software developer to step through visual representations of execution traces. We visualize dynamic behaviors of execution traces in terms of object creations and interactions and represent this in the context of a static class-hierarchy view of a system. We describe how we apply our approach to a case study to visualize and identify common parts of the code that are active during feature execution","","0-7803-9540-9","","10.1109/VISSOF.2005.1684317","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684317","","Control systems;Engines;Informatics;Information analysis;Reverse engineering;Runtime;Software maintenance;Software systems;Terminology;Visualization","computer graphics;program diagnostics;program visualisation;software maintenance","dynamic analysis;dynamic behavior visualization;execution traces;feature execution;feature implementation;feature interaction;interactive 3D visualization;maintenance change;object creations;object interactions;software system;static analysis;static class-hierarchy system view;visual representations","","","","3","","20","","","20061009","","IEEE","","IEEE Conference Publications"
"Design of a parser for real-time process algebra","Jianhua Zhao; Wang, Yingxu","Inst. of Comput. Sci. & Technol., Nanjing Univ., China","Electrical and Computer Engineering, 2003. IEEE CCECE 2003. Canadian Conference on","4-7 May 2003","2003","2","","1259","1262 vol.2","The real-time process algebra (RTFA) is a set of new mathematical notations for formally describing software system architectures, and static and dynamic behaviors. To bring RTPA into industrial software development practice, tools are needed for analyzing and visualizing RTPA specifications. The first step to develop the supporting tools is to build a grammar parser for recognizing the RTPA notation system. In this paper, a parser of RTPA is described. The parser takes a textual RTPA specification as input, and generates an abstract syntax tree (AST) as its output. The generated AST represents RTPA tokens and lexical information in a structured format, which provides a foundation for further semantic analysis, code generation, visualization, and validation.","0840-7789","0-7803-7781-8","","10.1109/CCECE.2003.1226128","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1226128","","Algebra;Computer architecture;Computer industry;Computer science;Drives;Java;Real time systems;Software engineering;Software systems;Visualization","grammars;process algebra;real-time systems;software architecture;software tools","AST;RTFA;abstract syntax tree;grammar parser;real-time process algebra;software engineering;software system architecture;software tools","","","","3","","7","","","20030904","","IEEE","","IEEE Conference Publications"
"Analyzing Java software by combining metrics and program visualization","Systa, T.; Ping Yu; Muller, H.","Software Syst. Lab., Tampere Univ. of Technol., Finland","Software Maintenance and Reengineering, 2000. Proceedings of the Fourth European","Feb 2000","2000","","","199","208","Shimba, a prototype reverse engineering environment, has been built to support the understanding of Java software. Shimba uses Rigi and SCED to analyze, visualize, and explore the static and dynamic aspects, respectively, of the subject system. The static software artifacts and their dependencies are extracted from Java byte code and viewed as directed graphs using the Rigi reverse engineering environment. The static dependency graphs of a subject system can be annotated with attributes, such as software quality measures, and then be analyzed and visualised using scripts through the end user programmable interface. Shimba has recently been extended with the Chidamber and Kemerer suite of object oriented metrics. The metrics measure properties of the classes, the inheritance hierarchy, and the interaction among classes of a subject system. Since Shimba is primarily intended for the analysis and exploration of Java software, the metrics have been tailored to measure properties of software systems using a reverse engineering environment. The static dependency graphs of the system under investigation are decorated with measures obtained by applying the object oriented metrics to selected software components. Shimba provides tools to examine these measures, to find software artifacts that have values that are in a given range, and to detect correlations among different measures. The object oriented analysis of the subject Java system can be investigated further by exporting the measures to a spreadsheet","","0-7695-0546-5","","10.1109/CSMR.2000.827328","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=827328","","Computer science;Electrical capacitance tomography;Java;Laboratories;Prototypes;Read only memory;Reverse engineering;Software systems;Tail;Visualization","Java;directed graphs;inheritance;object-oriented programming;program visualisation;reverse engineering;software metrics;software quality","Chidamber;Java byte code;Java software;Kemerer suite;Rigi;Rigi reverse engineering environment;SCED;Shimba;directed graphs;dynamic aspects;end user programmable interface;inheritance hierarchy;metrics;object oriented analysis;object oriented metrics;program visualization;prototype reverse engineering environment;reverse engineering environment;software artifacts;software components;software quality measures;spreadsheet;static dependency graphs;static software artifacts;subject Java system;subject system","","","","11","3","25","","","20020806","29 Feb 2000-03 Mar 2000","IEEE","","IEEE Conference Publications"
"K-scope: A Java-Based Fortran Source Code Analyzer with Graphical User Interface for Performance Improvement","Terai, M.; Murai, H.; Minami, K.; Yokokawa, M.; Tomiyama, E.","RIKEN Adv. Inst. for Comput. Sci., Kobe, Japan","Parallel Processing Workshops (ICPPW), 2012 41st International Conference on","10-13 Sept. 2012","2012","","","434","443","Given that scientific computer programs are becoming larger and more complicated, high performance application developers routinely examine the program structure of their source code to improve their performance. We have developed K-scope, a source code analysis tool that can be used to improve code performance. K-scope has graphical user interface that visualizes program structures of Fortran 90 and FORTRAN 77 source code and enables static data-flow analysis. To develop the tool, we adopted the filtered abstract syntax tree (filtered-AST) model with Java to visualize the program structure efficiently. Filtered-AST, which extends the AST in the structured programming model by abstract block structuring, is suitable for visualization program structures. Based on this model, K-scope has been developed as an experimental implementation. It constructs filtered-AST objects from both source and intermediate code generated by the front-end of the XcalableMP compiler. We provide illustrations of the graphical user interface and give detailed examples of the tool applied to an actual application code.","1530-2016","978-1-4673-2509-7","","10.1109/ICPPW.2012.61","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337511","GUI;XcalableMP compiler;filtered-AST;single core performance improvement;static source code analysis","Analytical models;Computational modeling;Load modeling;Object oriented modeling;Syntactics;Visualization;XML","FORTRAN;Java;computational linguistics;data flow analysis;graphical user interfaces;natural sciences computing;program compilers;program visualisation;software performance evaluation;source coding;structured programming;tree data structures","FORTRAN 77 source code;Fortran 90 source code;Java-based Fortran source code analyzer;K-scope;XcalableMP compiler;abstract block structuring;code performance improvement;filtered abstract syntax tree model;filtered-AST model;graphical user interface;high performance application developers;program structure visualization;scientific computer programs;source code analysis tool;static data flow analysis;structured programming model","","","","0","","20","","","20121025","","IEEE","","IEEE Conference Publications"
"Dynamic Analysis of Software Systems using Execution Pattern Mining","Safyallah, H.; Sartipi, K.","Dept. of Comput. & Software, McMaster Univ., Hamilton, Ont.","Program Comprehension, 2006. ICPC 2006. 14th IEEE International Conference on","0-0 0","2006","","","84","88","Software system analysis for extracting system functionality remains as a major problem in the reverse engineering literature and the early approaches mainly rely on static properties of software. In this paper, we propose a novel technique for dynamic analysis of software systems to identify the implementation of the software features that are specified through a number of feature-specific task scenarios. The execution of task scenarios and application of data mining algorithm sequential pattern discovery on the generated traces allow us to extract common functionality associated with the corresponding feature-specific task scenarios. The extracted patterns are used to identify the groups of core functions that implement software features. The proposed approach can be used for program comprehension and feature to source code assignment. A case study on the Unix Xfig drawing tool has been provided","1092-8138","0-7695-2601-2","","10.1109/ICPC.2006.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631109","Dynamic Analysis;Execution;Feature Extraction.;Scenario;Sequential Pattern Mining;Trace","Application software;Data mining;Feature extraction;Optimization;Pattern analysis;Performance analysis;Reverse engineering;Software performance;Software systems;Visualization","data mining;program diagnostics;reverse engineering;systems analysis","Unix Xfig drawing tool;data mining;dynamic analysis;execution pattern mining;program comprehension;reverse engineering;sequential pattern discovery;software system analysis;source code assignment;system functionality extraction;task scenario execution","","","","13","1","11","","","20060626","","IEEE","","IEEE Conference Publications"
"A Combined Software Reconnaissance &amp; Static Analysis Eclipse Visualisation Plug-in","Cleary, B.; Le Gear, A.; Exton, C.; Buckley, J.","Dept. of Comput. Sci. & Inf. Syst., Univ. of Limerick","Visualizing Software for Understanding and Analysis, 2005. VISSOFT 2005. 3rd IEEE International Workshop on","0-0 0","2005","","","1","2","Software reconnaissance is a dynamic analysis technique which can aid in the mapping between program features and code that implements those features. In a previous case study we have shown how we were able to combine software reconnaissance with a static data analysis to a derive reuse perspective from an existing system. In this paper we report on the tool support, in the form of an eclipse plug-in, developed to aid in visualising the results of the combined dynamic and static analyses","","0-7803-9540-9","","10.1109/VISSOF.2005.1684319","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684319","","Computer science;Data analysis;Data visualization;Gears;Information systems;Instruments;Reconnaissance;Software testing;Software tools;Spatial databases","program diagnostics;program visualisation","Eclipse visualisation plug-in;dynamic analysis;program code mapping;program feature mapping;software reconnaissance;static analysis;static data analysis;tool support","","","","1","","7","","","20061009","","IEEE","","IEEE Conference Publications"
